,newsletter,session_id,user_id
0,newsletter,5555694754,55885858
1,newsletter,5555694755,55885859
2,newsletter,5555694756,55885860
3,,5555694757,55885861
4,newsletter,5555694758,55885862
5,newsletter,5555694759,55885863
6,newsletter,5555694760,55885864
7,newsletter,5555694761,55885865
8,,5555694762,55885866
9,newsletter,5555694763,55885867
10,newsletter,5555694764,55885868
11,newsletter,5555694765,55885869
12,newsletter,5555694766,55885870
13,newsletter,5555694767,55885871
14,newsletter,5555694768,55885872
15,newsletter,5555694769,55885873
16,,5555694770,55885874
17,newsletter,5555694771,55885875
18,newsletter,5555694772,55885876
19,newsletter,5555694773,55885877
20,newsletter,5555694774,55885878
21,newsletter,5555694775,55885879
22,newsletter,5555694776,55885880
23,newsletter,5555694777,55885881
24,newsletter,5555694778,55885882
25,newsletter,5555694779,55885883
26,newsletter,5555694780,55885884
27,,5555694781,55885885
28,newsletter,5555694782,55885886
29,newsletter,5555694783,55885887
30,newsletter,5555694784,55885888
31,newsletter,5555694785,55885889
32,,5555694786,55885890
33,newsletter,5555694787,55885891
34,newsletter,5555694788,55885892
35,,5555694789,55885893
36,,5555694790,55885894
37,newsletter,5555694791,55885895
38,,5555694792,55885896
39,newsletter,5555694793,55885897
40,newsletter,5555694794,55885898
41,newsletter,5555694795,55885899
42,newsletter,5555694796,55885900
43,newsletter,5555694797,55885901
44,newsletter,5555694798,55885902
45,newsletter,5555694799,55885903
46,newsletter,5555694800,55885904
47,,5555694801,55885905
48,newsletter,5555694802,55885906
49,,5555694803,55885907
50,newsletter,5555694804,55885908
51,,5555694805,55885909
52,,5555694806,55885910
53,newsletter,5555694807,55885911
54,newsletter,5555694808,55885912
55,newsletter,5555694809,55885913
56,,5555694810,55885914
57,newsletter,5555694811,55885915
58,newsletter,5555694812,55885916
59,newsletter,5555694813,55885917
60,,5555694814,55885918
61,newsletter,5555694815,55885919
62,,5555694816,55885920
63,,5555694817,55885921
64,newsletter,5555694818,55885922
65,,5555694819,55885923
66,newsletter,5555694820,55885924
67,newsletter,5555694821,55885925
68,newsletter,5555694822,55885926
69,,5555694823,55885927
70,newsletter,5555694824,55885928
71,,5555694825,55885929
72,,5555694826,55885930
73,newsletter,5555694827,55885931
74,newsletter,5555694828,55885932
75,newsletter,5555694829,55885933
76,,5555694830,55885934
77,,5555694831,55885935
78,,5555694832,55885936
79,newsletter,5555694833,55885937
80,newsletter,5555694834,55885938
81,newsletter,5555694835,55885939
82,newsletter,5555694836,55885940
83,newsletter,5555694837,55885941
84,,5555694838,55885942
85,newsletter,5555694839,55885943
86,newsletter,5555694840,55885944
87,,5555694841,55885945
88,,5555694842,55885946
89,,5555694843,55885947
90,newsletter,5555694844,55885948
91,,5555694845,55885949
92,newsletter,5555694846,55885950
93,newsletter,5555694847,55885951
94,newsletter,5555694848,55885952
95,newsletter,5555694849,55885953
96,,5555694850,55885954
97,newsletter,5555694851,55885955
98,newsletter,5555694852,55885956
99,newsletter,5555694853,55885957
100,newsletter,5555694854,55885958
101,,5555694855,55885959
102,newsletter,5555694856,55885960
103,newsletter,5555694857,55885961
104,newsletter,5555694858,55885962
105,newsletter,5555694859,55885963
106,newsletter,5555694860,55885964
107,newsletter,5555694861,55885965
108,,5555694862,55885966
109,newsletter,5555694863,55885967
110,,5555694864,55885968
111,,5555694865,55885969
112,newsletter,5555694866,55885970
113,,5555694867,55885971
114,,5555694868,55885972
115,newsletter,5555694869,55885973
116,newsletter,5555694870,55885974
117,,5555694871,55885975
118,,5555694872,55885976
119,newsletter,5555694873,55885977
120,newsletter,5555694874,55885978
121,newsletter,5555694875,55885979
122,newsletter,5555694876,55885980
123,newsletter,5555694877,55885981
124,newsletter,5555694878,55885982
125,,5555694879,55885983
126,newsletter,5555694880,55885984
127,,5555694881,55885985
128,newsletter,5555694882,55885986
129,,5555694883,55885987
130,,5555694884,55885988
131,,5555694885,55885989
132,,5555694886,55885990
133,newsletter,5555694887,55885991
134,newsletter,5555694888,55885992
135,newsletter,5555694889,55885993
136,newsletter,5555694890,55885994
137,,5555694891,55885995
138,,5555694892,55885996
139,newsletter,5555694893,55885997
140,,5555694894,55885998
141,newsletter,5555694895,55885999
142,newsletter,5555694896,55886000
143,,5555694897,55886001
144,newsletter,5555694898,55886002
145,newsletter,5555694899,55886003
146,,5555694900,55886004
147,newsletter,5555694901,55886005
148,,5555694902,55886006
149,newsletter,5555694903,55886007
150,newsletter,5555694904,55886008
151,newsletter,5555694905,55886009
152,newsletter,5555694906,55886010
153,,5555694907,55886011
154,newsletter,5555694908,55886012
155,,5555694909,55886013
156,,5555694910,55886014
157,newsletter,5555694911,55886015
158,,5555694912,55886016
159,,5555694913,55886017
160,newsletter,5555694914,55886018
161,newsletter,5555694915,55886019
162,newsletter,5555694916,55886020
163,newsletter,5555694917,55886021
164,newsletter,5555694918,55886022
165,newsletter,5555694919,55886023
166,,5555694920,55886024
167,,5555694921,55886025
168,newsletter,5555694922,55886026
169,newsletter,5555694923,55886027
170,newsletter,5555694924,55886028
171,newsletter,5555694925,55886029
172,newsletter,5555694926,55886030
173,newsletter,5555694927,55886031
174,newsletter,5555694928,55886032
175,,5555694929,55886033
176,newsletter,5555694930,55886034
177,newsletter,5555694931,55886035
178,,5555694932,55886036
179,newsletter,5555694933,55886037
180,newsletter,5555694934,55886038
181,newsletter,5555694935,55886039
182,,5555694936,55886040
183,newsletter,5555694937,55886041
184,,5555694938,55886042
185,newsletter,5555694939,55886043
186,newsletter,5555694940,55886044
187,,5555694941,55886045
188,,5555694942,55886046
189,,5555694943,55886047
190,,5555694944,55886048
191,newsletter,5555694945,55886049
192,newsletter,5555694946,55886050
193,newsletter,5555694947,55886051
194,,5555694948,55886052
195,newsletter,5555694949,55886053
196,newsletter,5555694950,55886054
197,newsletter,5555694951,55886055
198,newsletter,5555694952,55886056
199,newsletter,5555694953,55886057
200,newsletter,5555694954,55886058
201,newsletter,5555694955,55886059
202,newsletter,5555694956,55886060
203,newsletter,5555694957,55886061
204,newsletter,5555694958,55886062
205,newsletter,5555694959,55886063
206,,5555694960,55886064
207,newsletter,5555694961,55886065
208,,5555694962,55886066
209,newsletter,5555694963,55886067
210,,5555694964,55886068
211,newsletter,5555694965,55886069
212,,5555694966,55886070
213,,5555694967,55886071
214,,5555694968,55886072
215,,5555694969,55886073
216,newsletter,5555694970,55886074
217,newsletter,5555694971,55886075
218,newsletter,5555694972,55886076
219,,5555694973,55886077
220,,5555694974,55886078
221,newsletter,5555694975,55886079
222,newsletter,5555694976,55886080
223,,5555694977,55886081
224,,5555694978,55886082
225,,5555694979,55886083
226,,5555694980,55886084
227,,5555694981,55886085
228,newsletter,5555694982,55886086
229,newsletter,5555694983,55886087
230,,5555694984,55886088
231,newsletter,5555694985,55886089
232,,5555694986,55886090
233,newsletter,5555694987,55886091
234,,5555694988,55886092
235,newsletter,5555694989,55886093
236,,5555694990,55886094
237,,5555694991,55886095
238,newsletter,5555694992,55886096
239,,5555694993,55886097
240,newsletter,5555694994,55886098
241,newsletter,5555694995,55886099
242,,5555694996,55886100
243,,5555694997,55886101
244,newsletter,5555694998,55886102
245,,5555694999,55886103
246,,5555695000,55886104
247,,5555695001,55886105
248,,5555695002,55886106
249,newsletter,5555695003,55886107
250,newsletter,5555695004,55886108
251,newsletter,5555695005,55886109
252,newsletter,5555695006,55886110
253,newsletter,5555695007,55886111
254,,5555695008,55886112
255,,5555695009,55886113
256,newsletter,5555695010,55886114
257,newsletter,5555695011,55886115
