,subscription,subscription_amount,visit_id,user_id
0,1.0,108.0,5555694754,55885858
1,1.0,145.0,5555694758,55885862
2,1.0,141.0,5555694759,55885863
3,1.0,103.0,5555694764,55885868
4,1.0,131.0,5555694765,55885869
5,1.0,125.0,5555694766,55885870
6,1.0,150.0,5555694767,55885871
7,1.0,122.0,5555694768,55885872
8,1.0,112.0,5555694769,55885873
9,1.0,150.0,5555694771,55885875
10,1.0,122.0,5555694773,55885877
11,1.0,146.0,5555694774,55885878
12,1.0,131.0,5555694776,55885880
13,1.0,120.0,5555694777,55885881
14,1.0,103.0,5555694778,55885882
15,1.0,103.0,5555694780,55885884
16,1.0,131.0,5555694782,55885886
17,1.0,141.0,5555694785,55885889
18,1.0,141.0,5555694787,55885891
19,1.0,150.0,5555694788,55885892
20,1.0,131.0,5555694791,55885895
21,1.0,122.0,5555694793,55885897
22,1.0,112.0,5555694794,55885898
23,1.0,122.0,5555694796,55885900
24,1.0,150.0,5555694798,55885902
25,1.0,122.0,5555694799,55885903
26,1.0,107.0,5555694800,55885904
27,1.0,112.0,5555694802,55885906
28,1.0,39.0,5555694807,55885911
29,1.0,141.0,5555694811,55885915
30,1.0,109.0,5555694812,55885916
31,1.0,150.0,5555694813,55885917
32,1.0,130.0,5555694814,55885918
33,1.0,131.0,5555694818,55885922
34,1.0,131.0,5555694820,55885924
35,1.0,113.0,5555694821,55885925
36,1.0,142.0,5555694823,55885927
37,1.0,112.0,5555694824,55885928
38,1.0,150.0,5555694827,55885931
39,1.0,131.0,5555694828,55885932
40,1.0,133.0,5555694829,55885933
41,1.0,112.0,5555694833,55885937
42,1.0,141.0,5555694836,55885940
43,1.0,141.0,5555694840,55885944
44,1.0,109.0,5555694842,55885946
45,1.0,26.0,5555694844,55885948
46,1.0,150.0,5555694847,55885951
47,1.0,103.0,5555694848,55885952
48,1.0,141.0,5555694851,55885955
49,1.0,106.0,5555694852,55885956
50,1.0,116.0,5555694853,55885957
51,1.0,150.0,5555694857,55885961
52,1.0,131.0,5555694859,55885963
53,1.0,119.0,5555694860,55885964
54,1.0,103.0,5555694861,55885965
55,1.0,105.0,5555694862,55885966
56,1.0,106.0,5555694870,55885974
57,1.0,131.0,5555694873,55885977
58,1.0,139.0,5555694876,55885980
59,1.0,131.0,5555694880,55885984
60,1.0,116.0,5555694885,55885989
61,1.0,102.0,5555694891,55885995
62,1.0,131.0,5555694893,55885997
63,1.0,112.0,5555694898,55886002
64,1.0,51.0,5555694899,55886003
65,1.0,131.0,5555694901,55886005
66,1.0,122.0,5555694903,55886007
67,1.0,112.0,5555694906,55886010
68,1.0,103.0,5555694908,55886012
69,1.0,131.0,5555694914,55886018
70,1.0,132.0,5555694915,55886019
71,1.0,122.0,5555694917,55886021
72,1.0,103.0,5555694923,55886027
73,1.0,150.0,5555694924,55886028
74,1.0,131.0,5555694926,55886030
75,1.0,141.0,5555694931,55886035
76,1.0,103.0,5555694933,55886037
77,1.0,131.0,5555694935,55886039
78,1.0,137.0,5555694937,55886041
79,1.0,150.0,5555694940,55886044
80,1.0,150.0,5555694946,55886050
81,1.0,140.0,5555694949,55886053
82,1.0,122.0,5555694952,55886056
83,1.0,150.0,5555694953,55886057
84,1.0,103.0,5555694956,55886060
85,1.0,96.0,5555694957,55886061
86,1.0,150.0,5555694958,55886062
87,1.0,123.0,5555694959,55886063
88,1.0,112.0,5555694961,55886065
89,1.0,150.0,5555694965,55886069
90,1.0,112.0,5555694970,55886074
91,1.0,150.0,5555694971,55886075
92,1.0,131.0,5555694972,55886076
93,1.0,97.0,5555694976,55886080
94,1.0,108.0,5555694977,55886081
95,1.0,103.0,5555694983,55886087
96,1.0,150.0,5555694987,55886091
97,1.0,131.0,5555694989,55886093
98,1.0,138.0,5555694992,55886096
99,1.0,112.0,5555694994,55886098
100,1.0,141.0,5555694995,55886099
101,1.0,142.0,5555694996,55886100
102,1.0,122.0,5555694998,55886102
103,1.0,141.0,5555695004,55886108
104,1.0,150.0,5555695005,55886109
105,1.0,103.0,5555695006,55886110
106,1.0,103.0,5555695007,55886111
107,1.0,130.0,5555695014,55886118
108,1.0,122.0,5555695016,55886120
109,1.0,150.0,5555695018,55886122
110,1.0,123.0,5555695020,55886124
111,1.0,150.0,5555695021,55886125
112,1.0,141.0,5555695022,55886126
113,1.0,103.0,5555695026,55886130
114,1.0,122.0,5555695027,55886131
115,1.0,136.0,5555695030,55886134
116,1.0,96.0,5555695033,55886137
117,1.0,128.0,5555695034,55886138
118,1.0,141.0,5555695037,55886141
119,1.0,103.0,5555695038,55886142
120,1.0,113.0,5555695042,55886146
121,1.0,134.0,5555695043,55886147
122,1.0,142.0,5555695045,55886149
123,1.0,125.0,5555695046,55886150
124,1.0,97.0,5555695047,55886151
125,1.0,133.0,5555695052,55886156
126,1.0,103.0,5555695053,55886157
127,1.0,131.0,5555695055,55886159
128,1.0,122.0,5555695057,55886161
129,1.0,131.0,5555695060,55886164
130,1.0,131.0,5555695068,55886172
131,1.0,150.0,5555695080,55886184
132,1.0,131.0,5555695082,55886186
133,1.0,122.0,5555695083,55886187
134,1.0,99.0,5555695084,55886188
135,1.0,103.0,5555695088,55886192
136,1.0,131.0,5555695089,55886193
137,1.0,113.0,5555695091,55886195
138,1.0,122.0,5555695095,55886199
139,1.0,135.0,5555695096,55886200
140,1.0,150.0,5555695097,55886201
141,1.0,141.0,5555695099,55886203
142,1.0,107.0,5555695100,55886204
143,1.0,131.0,5555695101,55886205
144,1.0,133.0,5555695104,55886208
145,1.0,112.0,5555695106,55886210
146,1.0,112.0,5555695108,55886212
147,1.0,141.0,5555695109,55886213
148,1.0,135.0,5555695119,55886223
149,1.0,141.0,5555695121,55886225
150,1.0,149.0,5555695124,55886228
151,1.0,130.0,5555695127,55886231
152,1.0,141.0,5555695130,55886234
153,1.0,134.0,5555695132,55886236
154,1.0,150.0,5555695135,55886239
155,1.0,150.0,5555695138,55886242
156,1.0,141.0,5555695139,55886243
157,1.0,150.0,5555695141,55886245
158,1.0,122.0,5555695146,55886250
159,1.0,150.0,5555695149,55886253
160,1.0,122.0,5555695150,55886254
161,1.0,122.0,5555695151,55886255
162,1.0,103.0,5555695154,55886258
163,1.0,96.0,5555695156,55886260
164,1.0,150.0,5555695158,55886262
165,1.0,98.0,5555695164,55886268
166,1.0,103.0,5555695168,55886272
167,1.0,150.0,5555695171,55886275
168,1.0,97.0,5555695173,55886277
169,1.0,104.0,5555695174,55886278
170,1.0,131.0,5555695175,55886279
171,1.0,103.0,5555695176,55886280
172,1.0,145.0,5555695177,55886281
173,1.0,97.0,5555695179,55886283
